time,Actual Heading,AH (deg),Desired Heading
5.989770174,0.680678311,39.00000839,
6.023788452,0.695860955,39.86991012,
6.026084661,0.695860955,39.86991012,
6.098607302,0.71204531,40.79720565,
6.100236893,0.71204531,40.79720565,
6.160779953,0.72930739,41.78625036,
6.180107355,0.72930739,41.78625036,
6.192813873,0.72930739,41.78625036,
6.258902788,0.744366851,42.64909425,
6.263698578,0.744366851,42.64909425,
6.329813004,0.757787349,43.41803239,
6.340790987,0.757787349,43.41803239,
6.386589289,0.757787349,43.41803239,
6.394031763,0.77077483,44.16216048,
6.39724803,0.77077483,44.16216048,
6.456643105,0.786565382,45.06689284,
6.470731258,0.786565382,45.06689284,
6.55384779,0.803610253,46.04349233,
6.554344177,0.803610253,46.04349233,
6.584733725,0.803610253,46.04349233,
6.680733204,0.817787105,46.8557664,
6.689700842,0.817787105,46.8557664,
6.756735802,0.832287259,47.68656432,
6.763470411,0.832287259,47.68656432,
6.792107344,0.832287259,47.68656432,
6.839711666,0.847098665,48.53519571,
6.840467691,0.847098665,48.53519571,
6.897660971,0.862637467,49.4255038,
6.909343481,0.862637467,49.4255038,
6.98140192,0.877289407,50.26499843,
6.983587027,0.877289407,50.26499843,
6.990882874,0.877289407,50.26499843,
7.068601131,0.888431706,50.90340533,
7.069323301,0.888431706,50.90340533,
7.119327068,0.900466497,51.59294832,
7.122006655,0.900466497,51.59294832,
7.188057423,0.900466497,51.59294832,
7.191021919,0.913233881,52.32446578,
7.194393396,0.913233881,52.32446578,
7.286367416,0.927937294,53.16690961,
7.289458036,0.927937294,53.16690961,
7.343447447,0.943782685,54.07478395,
7.348814011,0.943782685,54.07478395,
7.38531065,0.943782685,54.07478395,
7.409390211,0.956850604,54.82352082,
7.414175987,0.956850604,54.82352082,
7.490388155,0.968186978,55.47304745,
7.491580486,0.968186978,55.47304745,
7.585891724,0.968186978,55.47304745,
7.597422361,0.978867868,56.08501758,
7.598480701,0.978867868,56.08501758,
7.681551695,0.989992779,56.72242826,
7.686748028,0.989992779,56.72242826,
7.748771667,1.001768832,57.39714666,
7.750682116,1.001768832,57.39714666,
7.784771681,1.001768832,57.39714666,
7.798900127,1.012483627,58.01105938,
7.801308155,1.012483627,58.01105938,
7.866719723,1.023231397,58.62686146,
7.86769104,1.023231397,58.62686146,
7.955788851,1.034173844,59.25381775,
7.958893299,1.034173844,59.25381775,
7.984976053,1.034173844,59.25381775,
8.038528204,1.043850038,59.808223,
8.039258003,1.043850038,59.808223,
8.100960016,1.05361459,60.36769084,
8.106035709,1.05361459,60.36769084,
8.155219078,1.063399862,60.92834584,
8.167115927,1.063399862,60.92834584,
8.18713069,1.063399862,60.92834584,
8.244490623,1.072241103,61.4349118,
8.247859955,1.072241103,61.4349118,
8.31826973,1.08293698,62.0477406,
8.320630789,1.08293698,62.0477406,
8.365590572,1.095230961,62.75213411,
8.366021633,1.095230961,62.75213411,
8.385234118,1.095230961,62.75213411,
8.418937683,1.105717056,63.35294331,
8.421382666,1.105717056,63.35294331,
8.476514816,1.114847274,63.87606644,
8.478580475,1.114847274,63.87606644,
8.551888227,1.123116798,64.34987543,
8.554866314,1.123116798,64.34987543,
8.58514142,1.123116798,64.34987543,
8.616353989,1.130411619,64.76783804,
8.619588375,1.130411619,64.76783804,
8.681393147,1.138440109,65.22783679,
8.685739517,1.138440109,65.22783679,
8.739727736,1.146779372,65.70564154,
8.741103888,1.146779372,65.70564154,
8.785805464,1.146779372,65.70564154,
8.804718494,1.154343153,66.1390144,
8.80736804,1.154343153,66.1390144,
8.848210096,1.16352109,66.66487165,
8.849507332,1.16352109,66.66487165,
8.923877001,1.1739855,67.2644384,
8.927167654,1.1739855,67.2644384,
8.984022856,1.182678702,67.76252237,
8.986159563,1.182678702,67.76252237,
8.98756671,1.182678702,67.76252237,
9.065721273,1.190810876,68.22846176,
9.068670988,1.190810876,68.22846176,
9.124254704,1.197397658,68.60585672,
9.135755539,1.197397658,68.60585672,
9.187852621,1.197397658,68.60585672,
9.203006268,1.202390861,68.89194629,
9.203423023,1.202390861,68.89194629,
9.277772427,1.207720716,69.19732462,
9.280016422,1.207720716,69.19732462,
9.344164848,1.21358123,69.53310741,
9.347491264,1.21358123,69.53310741,
9.385668516,1.21358123,69.53310741,
9.432712317,1.219745378,69.88628722,
9.438960791,1.219745378,69.88628722,
9.508766413,1.226733296,70.28666559,
9.513816833,1.226733296,70.28666559,
9.578010321,1.233726294,70.68733497,
9.579563618,1.233726294,70.68733497,
9.584565401,1.233726294,70.68733497,
9.650416851,1.239751532,71.0325558,
9.654240608,1.239751532,71.0325558,
9.710436821,1.247212455,71.46003538,
9.711434126,1.247212455,71.46003538,
9.771466255,1.255874311,71.95632336,
9.781598568,1.255874311,71.95632336,
9.787073374,1.255874311,71.95632336,
9.881902695,1.26293799,72.36104247,
9.889658928,1.26293799,72.36104247,
9.959463835,1.269485148,72.73616711,
9.970107317,1.269485148,72.73616711,
9.987032413,1.269485148,72.73616711,
10.05118847,1.274635351,73.03125215,
10.05166316,1.274635351,73.03125215,
10.13266373,1.278601833,73.2585149,
10.13358617,1.278601833,73.2585149,
10.1832757,1.282956224,73.50800319,
10.18665051,1.282956224,73.50800319,
10.20191622,1.282956224,73.50800319,
10.26607919,1.287660109,73.77751605,
10.2725513,1.287660109,73.77751605,
10.34195924,1.292554988,74.05797209,
10.35001326,1.292554988,74.05797209,
10.39279938,1.292554988,74.05797209,
10.42051125,1.297366391,74.33364524,
10.42649722,1.297366391,74.33364524,
10.48972034,1.302801711,74.64506629,
10.49285674,1.302801711,74.64506629,
10.56088567,1.308273835,74.95859599,
10.56514382,1.308273835,74.95859599,
10.58971786,1.308273835,74.95859599,
10.63987565,1.312960698,75.22713357,
10.64119053,1.312960698,75.22713357,
10.72106075,1.318031985,75.51769702,
10.72360468,1.318031985,75.51769702,
10.78483796,1.318031985,75.51769702,
10.79478407,1.323142371,75.81050067,
10.79523516,1.323142371,75.81050067,
10.84472418,1.328368248,76.10992144,
10.84865713,1.328368248,76.10992144,
10.91975641,1.333338034,76.39466934,
10.92303157,1.333338034,76.39466934,
10.98779726,1.337432634,76.62927272,
10.99130917,1.337432634,76.62927272,
10.99614668,1.337432634,76.62927272,
11.02975965,1.341088911,76.83876203,
11.06766081,1.341088911,76.83876203,
11.1137197,1.344666568,77.04374673,
11.11489797,1.344666568,77.04374673,
11.19031572,1.348343887,77.25444166,
11.1908865,1.348343887,77.25444166,
11.19157434,1.348343887,77.25444166,
11.26143193,1.352086297,77.46886606,
11.26387477,1.352086297,77.46886606,
11.34708858,1.355800704,77.68168598,
11.34976506,1.355800704,77.68168598,
11.38704896,1.355800704,77.68168598,
11.42134595,1.3594265,77.88942887,
11.42724276,1.3594265,77.88942887,
11.48619461,1.363578948,78.12734669,
11.49551725,1.363578948,78.12734669,
11.55681777,1.367800243,78.36920914,
11.55766201,1.367800243,78.36920914,
11.59181118,1.367800243,78.36920914,
11.65314746,1.371431142,78.5772444,
11.65530014,1.371431142,78.5772444,
11.72703719,1.375367156,78.80276152,
11.73042226,1.375367156,78.80276152,
11.78476143,1.375367156,78.80276152,
11.79616141,1.37932296,79.02941244,
11.79857087,1.37932296,79.02941244,
11.85494709,1.383365686,79.26104369,
11.85717177,1.383365686,79.26104369,
11.93375874,1.387204389,79.48098525,
11.93594241,1.387204389,79.48098525,
11.98803592,1.387204389,79.48098525,
11.99870539,1.390358885,79.6617246,
12.01704264,1.390358885,79.6617246,
12.07325697,1.393176942,79.82318745,
12.07697415,1.393176942,79.82318745,
12.15680671,1.395940773,79.98154337,
12.15821123,1.395940773,79.98154337,
12.18578243,1.395940773,79.98154337,
12.23936319,1.398786629,80.14459894,
12.25056624,1.398786629,80.14459894,
12.29459381,1.402150762,80.33734961,
12.29684663,1.402150762,80.33734961,
12.36612225,1.405596054,80.53475041,
12.36907601,1.405596054,80.53475041,
12.38990545,1.405596054,80.53475041,
12.43439507,1.408567828,80.70502054,
12.44073415,1.408567828,80.70502054,
12.51290345,1.411782689,80.88921858,
12.51721692,1.411782689,80.88921858,
12.58514476,1.411782689,80.88921858,
12.59559083,1.415003496,81.07375728,
12.60687089,1.415003496,81.07375728,
12.66448522,1.41829251,81.26220401,
12.66524625,1.41829251,81.26220401,
12.77328897,1.42141362,81.44103046,
12.77909613,1.42141362,81.44103046,
12.79031181,1.42141362,81.44103046,
12.83299541,1.423975334,81.58780592,
12.83441234,1.423975334,81.58780592,
12.90764189,1.426795289,81.74937752,
12.92165303,1.426795289,81.74937752,
12.97698808,1.429691383,81.91531154,
12.98008871,1.429691383,81.91531154,
12.98588419,1.429691383,81.91531154,
13.03454876,1.432198341,82.0589497,
13.04306602,1.432198341,82.0589497,
13.08346248,1.434938431,82.21594534,
13.09162617,1.434938431,82.21594534,
13.13892055,1.437692213,82.37372548,
13.14177299,1.437692213,82.37372548,
13.18555832,1.437692213,82.37372548,
13.22632909,1.440040984,82.50830021,
13.23256063,1.440040984,82.50830021,
13.3072679,1.442608683,82.65541859,
13.31172347,1.442608683,82.65541859,
13.35875297,1.44521234,82.80459717,
13.36633754,1.44521234,82.80459717,
13.39051342,1.44521234,82.80459717,
13.42506742,1.447476316,82.93431353,
13.42554307,1.447476316,82.93431353,
13.51296997,1.449973862,83.07741238,
13.51602221,1.449973862,83.07741238,
13.58916688,1.449973862,83.07741238,
13.59448886,1.45248592,83.2213428,
13.59546018,1.45248592,83.2213428,
13.64250517,1.454596063,83.34224508,
13.64342237,1.454596063,83.34224508,
13.72090054,1.456469536,83.44958722,
13.72335649,1.456469536,83.44958722,
13.78369093,1.456469536,83.44958722,
13.84488487,1.458296213,83.55424817,
13.86070395,1.458296213,83.55424817,
13.92370892,1.460499128,83.68046596,
13.93070197,1.460499128,83.68046596,
13.98557734,1.462799937,83.81229264,
13.98641491,1.462799937,83.81229264,
13.98764396,1.462799937,83.81229264,
14.06800175,1.464797603,83.92675051,
14.0704658,1.464797603,83.92675051,
14.15009689,1.466564485,84.02798543,
14.15138841,1.466564485,84.02798543,
14.18714452,1.466564485,84.02798543,
14.23110199,1.46824212,84.12410684,
14.23372221,1.46824212,84.12410684,
14.30868745,1.470245209,84.23887543,
14.31030297,1.470245209,84.23887543,
14.3573885,1.472338551,84.35881517,
14.35844064,1.472338551,84.35881517,
14.39673972,1.472338551,84.35881517,
14.41014433,1.474158133,84.46306958,
14.41065359,1.474158133,84.46306958,
14.53851771,1.476136241,84.57640682,
14.53943682,1.476136241,84.57640682,
14.59699106,1.476136241,84.57640682,
14.59887314,1.478106946,84.68931998,
14.59991527,1.478106946,84.68931998,
14.66840482,1.480117692,84.80452727,
14.68480754,1.480117692,84.80452727,
14.76062298,1.482017899,84.91340114,
14.76163745,1.482017899,84.91340114,
14.78495812,1.482017899,84.91340114,
14.81832433,1.483568486,85.00224328,
14.81948376,1.483568486,85.00224328,
14.8967967,1.485285883,85.10064287,
14.89972258,1.485285883,85.10064287,
14.9706223,1.487051278,85.2017926,
14.98020005,1.487051278,85.2017926,
14.98584199,1.487051278,85.2017926,
15.07934093,1.488574511,85.28906745,
15.08371997,1.488574511,85.28906745,
15.13561869,1.49024427,85.38473763,
15.13979912,1.49024427,85.38473763,
15.18771505,1.49024427,85.38473763,
15.25354719,1.49192007,85.48075392,
15.25501943,1.49192007,85.48075392,
15.33231473,1.493633847,85.57894615,
15.33335519,1.493633847,85.57894615,
15.39465475,1.493633847,85.57894615,
15.42856431,1.495253047,85.67171954,
15.43933082,1.495253047,85.67171954,
15.50962138,1.496872144,85.76448699,
15.51082444,1.496872144,85.76448699,
15.58951688,1.496872144,85.76448699,
15.59189463,1.498410974,85.85265548,
15.5971365,1.498410974,85.85265548,
15.65652037,1.499673631,85.92500044,
15.65846872,1.499673631,85.92500044,
15.71241021,1.500808273,85.99001064,
15.71729064,1.500808273,85.99001064,
15.76598048,1.501926878,86.054102,
15.76999164,1.501926878,86.054102,
15.79678321,1.501926878,86.054102,
15.85864401,1.503080628,86.12020706,
15.86240506,1.503080628,86.12020706,
15.94825029,1.504447057,86.19849767,
15.95852375,1.504447057,86.19849767,
15.99061775,1.504447057,86.19849767,
16.03346753,1.505840488,86.27833542,
16.03777766,1.505840488,86.27833542,
16.14361143,1.507271276,86.36031358,
16.14720678,1.507271276,86.36031358,
16.18672323,1.507271276,86.36031358,
16.23849058,1.508611327,86.43709287,
16.24320889,1.508611327,86.43709287,
16.30810905,1.509945446,86.5135323,
16.30969,1.509945446,86.5135323,
16.36940026,1.511202147,86.58553598,
16.37201381,1.511202147,86.58553598,
16.38763022,1.511202147,86.58553598,
16.44715381,1.512232259,86.64455709,
16.44894624,1.512232259,86.64455709,
16.52376175,1.51338444,86.71057217,
16.52935195,1.51338444,86.71057217,
16.58525324,1.514571545,86.77858832,
16.58585167,1.514571545,86.77858832,
16.5867908,1.514571545,86.77858832,
16.64151073,1.515597674,86.83738123,
16.64607501,1.515597674,86.83738123,
16.73992658,1.516514539,86.88991375,
16.74065161,1.516514539,86.88991375,
16.78719091,1.516514539,86.88991375,
16.8037641,1.517391641,86.940168,
16.8065424,1.517391641,86.940168,
16.85983062,1.518436749,87.00004828,
16.86192465,1.518436749,87.00004828,
16.95239258,1.519527392,87.06253757,
16.95895863,1.519527392,87.06253757,
16.9859004,1.519527392,87.06253757,
17.01072598,1.520476119,87.11689561,
17.01649213,1.520476119,87.11689561,
17.08894634,1.521505904,87.17589798,
17.09704876,1.521505904,87.17589798,
17.18625426,1.521505904,87.17589798,
17.1902554,1.522532361,87.23470964,
17.20031571,1.522532361,87.23470964,
17.25346661,1.523579373,87.29469907,
17.2577796,1.523579373,87.29469907,
17.31201196,1.524569919,87.35145319,
17.31320429,1.524569919,87.35145319,
17.40176463,1.524569919,87.35145319,
17.40292048,1.525379429,87.39783471,
17.41954827,1.525379429,87.39783471,
