time,Actual Heading
5.269050598144531e-05,
0.01454925537109375,8.697799910698843e-05
0.08323955535888672,8.773374029376412e-05
0.13731122016906738,8.854290516073325e-05
0.1925373077392578,8.933094182072814e-05
0.25061893463134766,9.01449593322701e-05
0.31819891929626465,9.093936383992206e-05
0.35910677909851074,9.172213348427276e-05
0.42960190773010254,9.251977894731691e-05
0.509606122970581,9.33310352936644e-05
0.5619888305664062,9.41475041659728e-05
0.627246618270874,9.495193161186249e-05
0.6885433197021484,9.570649334585224e-05
0.7443177700042725,9.646637162027579e-05
0.7988443374633789,9.724136646919666e-05
0.8759453296661377,9.804660476211794e-05
0.9420225620269775,9.885698454488226e-05
0.9975230693817139,9.968786023162261e-05
1.0867290496826172,0.0001004878520563101
1.1592662334442139,0.00010126112389614691
1.227569341659546,0.00010204200157039259
1.2996606826782227,0.00010283993343746404
1.3692035675048828,0.00010366076349167137
1.4199180603027344,0.00010448725200768768
1.507059097290039,0.0001052999527938113
1.5611238479614258,0.00010606314188986785
1.6488194465637207,0.0001068301643919732
