x,y
,
6.133132029057806e-05,-9.99696599000953e-07
6.135610576734856e-05,-9.996584185575017e-07
6.137899609260524e-05,-9.997178901722478e-07
6.137704236778856e-05,-9.996458020366332e-07
6.136704803312046e-05,-9.997220770043104e-07
6.136136376012399e-05,-9.997398064807091e-07
6.133763619905433e-05,-9.997086838429826e-07
6.132902602207764e-05,-9.996659984130055e-07
6.133096320578908e-05,-9.996661882063977e-07
6.134337580308499e-05,-9.997540420016474e-07
6.136144513901129e-05,-9.99743935947726e-07
6.138434779010395e-05,-9.997335506872123e-07
6.139990199657282e-05,-9.997616364656582e-07
6.139413749337071e-05,-9.997157135004536e-07
6.138931464355327e-05,-9.997706356314381e-07
6.137159407933173e-05,-9.996645749621646e-07
6.135756684514983e-05,-9.99769777483593e-07
6.134586327248297e-05,-9.997636638106736e-07
6.134445353429408e-05,-9.997336805156693e-07
6.13533529661892e-05,-9.996724137200025e-07
6.137300818472239e-05,-9.997398088186234e-07
6.14011626986169e-05,-9.997792080686972e-07
6.141478821615395e-05,-9.99741251739044e-07
6.142752385720591e-05,-9.99789753721749e-07
6.142021399529126e-05,-9.997570035704317e-07
6.140744922673694e-05,-9.997781308515445e-07
6.139206704684648e-05,-9.998185521717752e-07
6.138379959168615e-05,-9.99809217409599e-07
6.13804751862565e-05,-9.998072539733428e-07
6.13861675084919e-05,-9.997864782875355e-07
6.140213517353334e-05,-9.997375403753217e-07
6.142736452972785e-05,-9.997790138600954e-07
6.143124217300484e-05,-9.998039631199748e-07
6.143592131363645e-05,-9.998332783321216e-07
6.142066108091976e-05,-9.997954935014458e-07
6.141185898357603e-05,-9.998337652296128e-07
6.140816730163277e-05,-9.998325037665496e-07
6.141348673205019e-05,-9.998120955395317e-07
6.142908411336174e-05,-9.997634892053197e-07
6.145200870968045e-05,-9.998500650451233e-07
6.14467702802233e-05,-9.997438777399523e-07
6.143820206286202e-05,-9.998590341532456e-07
6.142826577185455e-05,-9.998280352307827e-07
6.14191503281334e-05,-9.99865850650954e-07
6.141515797868658e-05,-9.998644383681969e-07
6.142017788402933e-05,-9.998438887183063e-07
6.143547626468665e-05,-9.997951466598566e-07
6.146003877343143e-05,-9.998368128926733e-07
6.146325366924276e-05,-9.998619291292814e-07
6.146727269396387e-05,-9.998913941346351e-07
6.145289165637555e-05,-9.998235197084321e-07
6.144783978123821e-05,-9.99890825699604e-07
6.144346121708937e-05,-9.9988926983091e-07
6.144808220741656e-05,-9.998691321264495e-07
6.146298380888214e-05,-9.998207375719648e-07
6.148521487880779e-05,-9.999075259733417e-07
6.147928806927508e-05,-9.99801516942604e-07
6.147003348180888e-05,-9.999168360839537e-07
6.145941436171831e-05,-9.998859909827773e-07
6.144961941510075e-05,-9.999239413142648e-07
6.144495068652677e-05,-9.999226485628504e-07
6.144929719687361e-05,-9.999022051056528e-07
6.146392513343522e-05,-9.998535580230076e-07
6.14890332539461e-05,-9.998465051364701e-07
6.150508110707753e-05,-9.999338833671714e-07
6.151347545142734e-05,-9.999437377172841e-07
6.149659418178114e-05,-9.998792404698613e-07
6.149083771119106e-05,-9.999446396246635e-07
6.146339526409533e-05,-9.998500276117046e-07
6.145533986456812e-05,-9.999225122652497e-07
6.145593154154686e-05,-9.999705440218831e-07
6.146108216774578e-05,-9.999667790893567e-07
6.147265726696603e-05,-9.999531723322062e-07
6.149444084708313e-05,-9.999158175304934e-07
6.152354434434143e-05,-9.999741346114493e-07
6.152426576829033e-05,-9.999013402724483e-07
6.152449278493425e-05,-9.999813723280998e-07
6.151157879742884e-05,-9.999428157956699e-07
6.149100977328145e-05,-9.999884257794838e-07
6.147923382235128e-05,-9.999195749557244e-07
6.147812835101589e-05,-9.999207844958708e-07
6.14875075445877e-05,-1.0000096142455704e-06
6.150256230054754e-05,-1.0000003965925833e-06
6.152246408032708e-05,-9.999908321079867e-07
6.154096713848227e-05,-9.999272308705318e-07
6.15455585153083e-05,-9.999980508070933e-07
6.154682186936374e-05,-1.000016531064226e-06
6.152596009506869e-05,-9.999404946071599e-07
6.151064906254309e-05,-1.0000375752349898e-06
6.149584478086601e-05,-1.0000170913144316e-06
6.149139531526217e-05,-9.999881888723979e-07
6.149726657749945e-05,-9.999278729057235e-07
6.151390384465235e-05,-9.999961753775405e-07
6.153905737290534e-05,-1.0000363955203651e-06
6.155719025649637e-05,-1.0000440031064579e-06
6.157601756832126e-05,-1.0000420121204679e-06
6.15683949789406e-05,-9.999373342148174e-07
6.155741781394438e-05,-1.0000535119831107e-06
6.154508861429024e-05,-1.000023451981606e-06
6.153359422864224e-05,-1.0000621192513963e-06
6.152723512653391e-05,-1.0000614953605207e-06
6.152989921566056e-05,-1.0000416876550058e-06
6.154285285496922e-05,-9.999936443997197e-07
6.156629349921286e-05,-9.999871523650923e-07
6.158068163181104e-05,-1.0000750536599513e-06
6.158742363706834e-05,-1.0000854046655144e-06
6.157463258920392e-05,-1.0000307110004568e-06
6.156750711376153e-05,-1.0000980141042894e-06
6.156070730808409e-05,-1.000084646781983e-06
6.156295047702596e-05,-1.0000655140470993e-06
6.1575482876094e-05,-1.000017939277696e-06
6.159535227514931e-05,-1.000105507981084e-06
6.159177095357924e-05,-1.0000872702812435e-06
6.159305422885699e-05,-1.0001190789318194e-06
6.157596325179685e-05,-1.000051974802079e-06
6.156821333801875e-05,-1.000119931438463e-06
6.156114984250988e-05,-1.0001190223779884e-06
6.156309761775945e-05,-1.0000994780583006e-06
6.157533759637209e-05,-1.000051630489611e-06
6.159806764173451e-05,-1.0000453232660428e-06
6.16117485511332e-05,-1.0001333878067197e-06
6.16177865366011e-05,-1.0001438867211115e-06
6.160429505208742e-05,-1.0000893191704921e-06
6.159647181798798e-05,-1.0001567425604975e-06
6.158897753579768e-05,-1.0001434776983478e-06
6.159052916134526e-05,-1.0001244234751469e-06
6.16023729390453e-05,-1.000076921285714e-06
6.162349234349307e-05,-1.0001197686750909e-06
6.162328644261507e-05,-1.0001459575878118e-06
6.162389776329786e-05,-1.0001764246469417e-06
6.160612797345524e-05,-1.0001095517987567e-06
6.159769932790487e-05,-1.0001776292350366e-06
6.158996125623463e-05,-1.0001768491975312e-06
6.159123737977408e-05,-1.0001574148270346e-06
6.16028085866588e-05,-1.0001096593306679e-06
6.1624872409937e-05,-1.0001034406226124e-06
6.164953484162595e-05,-1.0001963018540025e-06
6.165540951999287e-05,-1.0001511851853321e-06
6.164719166466464e-05,-1.0001749998338531e-06
6.163851483856931e-05,-1.0002099078897105e-06
6.161417700524347e-05,-1.0001467800686084e-06
6.160281311813516e-05,-1.000175302807627e-06
6.160032386542584e-05,-1.0002246552176207e-06
6.16024048003793e-05,-1.0002218609366787e-06
6.161092367450489e-05,-1.0002091551804437e-06
6.162966516614385e-05,-1.0001726333283605e-06
6.165862086661661e-05,-1.0001053386508892e-06
6.16816377755185e-05,-1.0002263946237595e-06
6.169128013394129e-05,-1.0002372364943656e-06
6.167970094123613e-05,-1.0001937295709732e-06
6.16690699188208e-05,-1.0002507140310026e-06
6.164558099060386e-05,-1.0001465436550761e-06
6.162580108325967e-05,-1.0002535088338992e-06
6.160837836888331e-05,-1.0002490498386237e-06
6.160127570510865e-05,-1.0002205238893558e-06
6.160450808055044e-05,-1.0001606299318523e-06
6.161851832607288e-05,-1.0002292792538458e-06
6.164105458275446e-05,-1.0002698153214768e-06
6.166803145438783e-05,-1.0002592385931964e-06
6.16927084836962e-05,-1.0002467119961598e-06
6.171753682938806e-05,-1.0002705977576292e-06
6.172234542743915e-05,-1.0002267068916797e-06
6.171304967211096e-05,-1.0002514223620322e-06
6.170329388904608e-05,-1.0002871914372683e-06
6.167170657192411e-05,-1.0001817582101578e-06
6.165953478110762e-05,-1.0002561584889764e-06
6.165603511080198e-05,-1.0003058287353023e-06
6.165711814674524e-05,-1.0003035878994365e-06
6.166464428807887e-05,-1.0002914006985103e-06
6.168239814235864e-05,-1.0002553653193257e-06
6.171037123559343e-05,-1.00018854612248e-06
6.173240966093733e-05,-1.0003100472437696e-06
6.174107864232348e-05,-1.0003213037801564e-06
6.172853129440631e-05,-1.0002781823172499e-06
6.171693615480749e-05,-1.000335533691834e-06
6.169678012564778e-05,-1.0002511572697878e-06
6.169155997859742e-05,-1.0002544876223347e-06
6.16968315097524e-05,-1.0003451146637318e-06
6.170780758839947e-05,-1.0003375334911746e-06
6.17236504238343e-05,-1.0003294990932737e-06
6.173811362251757e-05,-1.000267322899419e-06
6.173868347331616e-05,-1.0003395286809018e-06
6.173594345277304e-05,-1.000359189989078e-06
6.171725418409214e-05,-1.0003218909556738e-06
6.171150803671782e-05,-1.0002823009237527e-06
6.17164251922817e-05,-1.0003734105287297e-06
6.17270442089648e-05,-1.0003659698747522e-06
6.174253160959622e-05,-1.000358067665292e-06
6.175664118242287e-05,-1.0002960162889078e-06
6.175685904158755e-05,-1.0003683304696045e-06
6.175376864375675e-05,-1.0003880875398457e-06
6.173473160762493e-05,-1.0003508872295385e-06
6.172863901650009e-05,-1.000311372030607e-06
6.173321121329963e-05,-1.0004025549229999e-06
6.174348736038846e-05,-1.0003951798978e-06
6.1758633514608e-05,-1.0003873365524427e-06
6.177240341332747e-05,-1.0003253358355248e-06
6.177228311243834e-05,-1.0003976988015849e-06
6.176885604643133e-05,-1.0004174898071316e-06
6.174948396257982e-05,-1.0003803286107965e-06
6.174305772440565e-05,-1.0003408316050572e-06
6.17472976949043e-05,-1.0004320350844696e-06
6.175724308510303e-05,-1.000424675029101e-06
6.177205985441968e-05,-1.0004168415441077e-06
6.178550169646674e-05,-1.0003548459866142e-06
6.178505463297248e-05,-1.000427214576041e-06
6.178130206503336e-05,-1.0004469981301528e-06
6.176160572847395e-05,-1.0004098371190145e-06
6.175485645005278e-05,-1.0003703223010619e-06
6.175877458776992e-05,-1.0004615121424825e-06
6.176839930884133e-05,-1.0004541350110357e-06
6.178289654022411e-05,-1.0004462815981514e-06
6.179914470852093e-05,-1.000420129450327e-06
6.181150771499123e-05,-1.0004704766975675e-06
6.181085100593512e-05,-1.000475251646936e-06
6.178906046847452e-05,-1.0004338266194643e-06
6.178194786968149e-05,-1.000394980466987e-06
6.17854948713647e-05,-1.0004865356874525e-06
6.179475421569115e-05,-1.000479487288826e-06
6.180888848115933e-05,-1.000471944141659e-06
6.181560760885878e-05,-1.0004458726665132e-06
6.181452898416463e-05,-1.00048480248067e-06
6.181781554818397e-05,-1.0005072465240574e-06
6.180314949955644e-05,-1.0005100754865514e-06
6.179419420577224e-05,-1.0004245228109017e-06
6.179738482214795e-05,-1.0005161371074844e-06
6.180627538288732e-05,-1.0005091283176182e-06
6.18200416985792e-05,-1.0005015991854252e-06
6.18200416985792e-05,-1.0005015991854252e-06
6.18200416985792e-05,-1.0005015991854252e-06
6.18200416985792e-05,-1.0005015991854252e-06
6.18200416985792e-05,-1.0005015991854252e-06
6.18200416985792e-05,-1.0005015991854252e-06
6.18200416985792e-05,-1.0005015991854252e-06
6.18200416985792e-05,-1.0005015991854252e-06
6.18200416985792e-05,-1.0005015991854252e-06
6.18200416985792e-05,-1.0005015991854252e-06
6.18200416985792e-05,-1.0005015991854252e-06
6.18200416985792e-05,-1.0005015991854252e-06
6.183243786659904e-05,-1.0004398827949794e-06
6.183243786659904e-05,-1.0004398827949794e-06
5.3508935657189704e-05,-7.474847269377808e-07
5.3508935657189704e-05,-7.474847269377808e-07
5.3508935657189704e-05,-7.474847269377808e-07
2.209585677743643e-05,-3.526890444446725e-06
2.209585677743643e-05,-3.526890444446725e-06
-2.140793031337162e-05,-8.01226925130835e-06
-2.140793031337162e-05,-8.01226925130835e-06
-4.4171168370984745e-05,-1.0687048168268491e-05
-4.4171168370984745e-05,-1.0687048168268491e-05
-4.4171168370984745e-05,-1.0687048168268491e-05
-4.86309646409458e-05,-1.0825768460636157e-05
-4.86309646409458e-05,-1.0825768460636157e-05
-7.371356020606684e-05,-1.306090358847205e-05
-7.371356020606684e-05,-1.306090358847205e-05
-0.00012155253135834291,-2.1160211908203062e-05
-0.00012155253135834291,-2.1160211908203062e-05
-0.00012155253135834291,-2.1160211908203062e-05
-0.00014745859763478912,-2.528498014469034e-05
-0.00014745859763478912,-2.528498014469034e-05
-0.00016369814604361206,-2.73912740723225e-05
-0.00016369814604361206,-2.73912740723225e-05
-0.00018991131844572554,-3.233914354289259e-05
-0.00018991131844572554,-3.233914354289259e-05
-0.00020954024857763344,-3.638696539569633e-05
-0.00020954024857763344,-3.638696539569633e-05
-0.00020954024857763344,-3.638696539569633e-05
-0.0002245286602422404,-3.9412370795841346e-05
-0.0002245286602422404,-3.9412370795841346e-05
-0.0002460322498040671,-4.353366001020549e-05
-0.0002460322498040671,-4.353366001020549e-05
-0.000274203678194894,-5.05191367254338e-05
-0.000274203678194894,-5.05191367254338e-05
-0.0002905626393595574,-5.4893229298589276e-05
-0.0002905626393595574,-5.4893229298589276e-05
-0.0002905626393595574,-5.4893229298589276e-05
-0.00029994309775581527,-5.6902537969335676e-05
-0.00029994309775581527,-5.6902537969335676e-05
-0.0003321747867277545,-6.36731541918904e-05
-0.0003321747867277545,-6.36731541918904e-05
-0.0003652384018421071,-7.534865156513678e-05
-0.0003652384018421071,-7.534865156513678e-05
-0.00037609919113314904,-7.909162916505891e-05
-0.00037609919113314904,-7.909162916505891e-05
-0.00037609919113314904,-7.909162916505891e-05
-0.0003746873505759317,-7.755994932145784e-05
-0.0003746873505759317,-7.755994932145784e-05
-0.0003991896682693458,-8.379399292378054e-05
-0.0003991896682693458,-8.379399292378054e-05
-0.00043403810972226446,-9.733389346624299e-05
-0.00043403810972226446,-9.733389346624299e-05
-0.00043403810972226446,-9.733389346624299e-05
-0.00045132770634773704,-0.00010437971826727663
-0.00045132770634773704,-0.00010437971826727663
-0.00046352138603270623,-0.00010712635193639922
-0.00046352138603270623,-0.00010712635193639922
-0.00048045990611927513,-0.00011374712328586846
-0.00048045990611927513,-0.00011374712328586846
-0.0004995086814209961,-0.00012143143327937768
-0.0004995086814209961,-0.00012143143327937768
-0.0004995086814209961,-0.00012143143327937768
-0.0005087113639116973,-0.00012558427615503304
-0.0005087113639116973,-0.00012558427615503304
-0.0005221076011618815,-0.00013011148934536152
-0.0005221076011618815,-0.00013011148934536152
-0.0005400621629372381,-0.00013802408365915943
-0.0005400621629372381,-0.00013802408365915943
-0.0005553884072657626,-0.00014529716704551876
-0.0005553884072657626,-0.00014529716704551876
-0.0005553884072657626,-0.00014529716704551876
-0.0005635345014597015,-0.00014898067471511735
-0.0005635345014597015,-0.00014898067471511735
-0.0005841804314492636,-0.00015673175398782081
-0.0005841804314492636,-0.00015673175398782081
-0.000606595440095892,-0.00016864651924250684
-0.000606595440095892,-0.00016864651924250684
-0.0006168103803902798,-0.000174574214570178
-0.0006168103803902798,-0.000174574214570178
-0.0006168103803902798,-0.000174574214570178
-0.0006165805570110866,-0.00017422734501382268
-0.0006165805570110866,-0.00017422734501382268
-0.0006373417504448299,-0.00018146592453922153
-0.0006373417504448299,-0.00018146592453922153
-0.0006662563311489052,-0.00020014256314694205
-0.0006662563311489052,-0.00020014256314694205
-0.0006749567382333686,-0.00020605938821436452
-0.0006749567382333686,-0.00020605938821436452
-0.0006749567382333686,-0.00020605938821436452
-0.0006665756771915203,-0.0001999986739625954
-0.0006665756771915203,-0.0001999986739625954
-0.0006750852464351458,-0.00020283162868915463
-0.0006750852464351458,-0.00020283162868915463
-0.0007032221766644163,-0.000219342116805746
-0.0007032221766644163,-0.000219342116805746
-0.0007165057645655699,-0.00022888815175759692
-0.0007165057645655699,-0.00022888815175759692
-0.0007165057645655699,-0.00022888815175759692
-0.0007087262752444569,-0.00022385914963338145
-0.0007087262752444569,-0.00022385914963338145
-0.0007173671508917289,-0.00022708066411088938
-0.0007173671508917289,-0.00022708066411088938
-0.0007483187363421297,-0.0002466120288114359
-0.0007483187363421297,-0.0002466120288114359
