time,x,y,yaw,vel_x,yaw_vel
6.39E-05,,,,,
0.031453609,10.99959847,8.999287896,1.586476492,,
0.07986021,10.99959848,8.999289067,1.586477297,,
0.176117182,10.99959849,8.999290265,1.586478108,,
0.254152536,10.99959851,8.999291525,1.586478919,,
0.362662554,10.99959852,8.999292759,1.586479731,,
0.435648441,10.99959853,8.99929395,1.586480547,,
0.528122663,10.99959855,8.999295113,1.586481366,,
0.600400209,10.99959847,8.999296267,1.586482137,,
0.693373442,10.99959839,8.999297469,1.586482896,,
0.783781767,10.99959833,8.999298712,1.586483662,,
0.858136177,10.99959829,8.999299935,1.586484435,,
0.927000999,10.99959825,8.999301145,1.586485213,,
1.05638361,10.99959823,8.99930234,1.586486002,,
1.148012877,10.99959822,8.999303538,1.586486799,,
1.236546755,10.99959821,8.999304807,1.586487599,,
1.322650194,10.99959819,8.999306032,1.586488393,,
1.423057318,10.99959818,8.999307185,1.586489191,,
1.523816824,10.99959816,8.999308358,1.586489983,,
1.661731243,10.99959811,8.999309526,1.586490758,,
1.731270552,10.99959807,8.999310686,1.586491539,,
1.811047792,10.99959802,8.999311892,1.586492309,,
1.912204027,10.99959803,8.999313094,1.586493114,,
2.027386665,10.99959802,8.999314327,1.586493911,,
2.117914677,10.99959804,8.999315591,1.586494718,,
2.23387599,10.99959807,8.999316812,1.586495539,,
2.349117994,10.99959811,8.999317996,1.586496371,,
2.494315386,10.99959815,8.9993192,1.586497203,,
2.594737768,10.99959805,8.999320494,1.58649796,,
2.721134424,10.99959795,8.999321697,1.586498706,,
2.848231554,10.99959781,8.999322864,1.586499432,,
2.943244696,10.99959771,8.999324005,1.58650017,,
3.063774109,10.99959767,8.999325173,1.586500943,,
3.178701162,10.99959776,8.999326419,1.586501781,,
3.302266359,10.99959786,8.999327662,1.586502634,,
3.396654606,10.99959793,8.999328842,1.586503487,,
3.485400915,10.99959791,8.999330006,1.58650429,,
3.622794628,10.99959788,8.999331137,1.586505085,,
3.720329762,10.99959787,8.999332321,1.586505882,,
3.795260429,10.99959784,8.999333563,1.58650667,,
3.915313959,10.9995978,8.999334845,1.586507451,,
3.997475147,10.99959779,8.999336083,1.586508247,,
4.0464046,10.99959779,8.999337263,1.586509052,,
4.112087011,10.99959779,8.999338449,1.586509859,,
4.226701498,10.99959771,8.999339612,1.586510622,,
4.317266941,10.99959761,8.999340831,1.586511368,,
4.380803823,10.99959758,8.999342023,1.586512151,,
4.474823475,10.99959759,8.999343214,1.586512952,,
4.575683355,10.99959764,8.999344408,1.586513778,,
4.685352087,10.99959768,8.999345587,1.58651461,,
4.794905901,10.99959772,8.999346831,1.58651544,,
4.888810873,10.99959768,8.999348019,1.586516231,,
4.993225098,10.9995976,8.999349241,1.586516995,,
5.057698965,10.99959754,8.999350419,1.586517767,,
5.132598877,10.99959752,8.999351606,1.586518557,,
5.251285791,10.99959748,8.999352818,1.586519335,,
5.359556675,10.99959745,8.999354,1.586520119,,
5.470271587,10.99959741,8.999355254,1.586520899,,
5.58240509,10.9995974,8.999356513,1.586521692,,
5.683356047,10.99959741,8.99935773,1.586522499,,
5.7640481,10.99959743,8.999358909,1.586523319,,
5.842326164,10.99959745,8.999360075,1.58652414,,
5.908460855,10.99959747,8.999361302,1.586524956,,
6.032200336,10.99959742,8.999362448,1.586525739,,
6.131365538,10.99959736,8.999363654,1.586526507,,
6.268150806,10.99959724,8.99936485,1.586527246,,
6.337984324,10.99959714,8.999366053,1.586527984,,
6.448417902,10.99959708,8.999367258,1.586528744,,
6.550388098,10.99959708,8.999368456,1.586529544,,
6.60828805,10.99959715,8.99936976,1.586530379,,
6.693980932,10.9995972,8.999370976,1.58653121,,
6.809958696,10.99959721,8.999372154,1.586532028,,
6.915419817,10.99959722,8.999373275,1.586532844,,
6.976158381,10.99959724,8.999374424,1.586533662,,
7.037530184,10.99959725,8.999375636,1.586534476,,
7.160621405,10.99959714,8.999376865,1.586535223,,
7.273031235,10.99959699,8.999378089,1.586535937,,
7.344885826,10.99959688,8.99937934,1.586536669,,
7.468039513,10.99959681,8.99938053,1.586537425,,
7.537881136,10.99959685,8.999381748,1.586538241,,
7.614818096,10.99959692,8.999383004,1.586539079,,
7.719508886,10.99959702,8.999384194,1.58653994,,
7.806644678,10.99959707,8.999385339,1.58654078,,
7.893071175,10.99959706,8.99938648,1.586541586,,
7.968165636,10.99959702,8.999387625,1.586542375,,
8.077937126,10.99959688,8.999388814,1.586543105,,
8.180187464,10.99959674,8.999390019,1.586543822,,
8.272950649,10.99959669,8.999391256,1.586544585,,
8.35720706,10.99959668,8.999392535,1.586545374,,
8.431678295,10.99959675,8.999393774,1.586546208,,
8.52877903,10.99959686,8.999394983,1.586547077,,
8.591966629,10.99959693,8.999396175,1.586547923,,
8.690115213,10.99959693,8.99939732,1.586548744,,
8.768288851,10.99959683,8.999398471,1.586549496,,
8.831170321,10.99959673,8.999399631,1.58655025,,
8.925652266,10.99959667,8.999400876,1.586551014,,
8.995705128,10.9995966,8.999402094,1.586551771,,
9.078544378,10.99959656,8.999403377,1.586552542,,
9.149278402,10.99959653,8.999404618,1.586553324,,
9.234159231,10.99959652,8.99940582,1.586554116,,
9.31724143,10.99959652,8.999407013,1.586554921,,
9.384573221,10.99959655,8.999408247,1.586555737,,
9.449113131,10.9995966,8.999409383,1.586556573,,
9.530677795,10.99959656,8.999410546,1.586557359,,
9.633389473,10.9995966,8.999411695,1.586558182,,
9.712774754,10.99959661,8.999412855,1.586558995,,
9.785215139,10.9995965,8.999414072,1.586559743,,
9.85930419,10.99959643,8.999415299,1.586560503,,
9.932010889,10.99959641,8.999416555,1.58656129,,
10.010952,10.99959641,8.999417784,1.586562087,,
10.09480643,10.99959638,8.999419016,1.58656288,,
10.16641784,10.99959637,8.999420208,1.586563676,,
10.246099,10.99959636,8.999421372,1.586564476,,
10.31527543,10.99959638,8.999422557,1.586565286,,
10.39752603,10.99959642,8.999423743,1.586566111,,
10.48220396,10.99959648,8.999424944,1.586566954,,
10.59106112,10.99959651,8.99942614,1.586567778,,
10.68829465,10.99959642,8.99942734,1.586568545,,
